probe_id,mean_control,mean_dmd,log2FC
217028_at,3.918060545833333,7.807637832750001,3.8895772869166683
236517_at,4.3039622415,8.18915991075,3.88519766925
203946_s_at,3.8555316518333336,7.7199996899375,3.864468038104166
226459_at,2.355501341333333,6.198371891187499,3.8428705498541658
202016_at,6.7280786966666675,10.5684798300625,3.840401133395833
1556579_s_at,2.864158609666667,6.6988914235,3.834732813833333
202503_s_at,2.271580472333333,6.07704854475,3.805468072416667
1555728_a_at,3.058541391166667,6.853926268062499,3.795384876895832
217767_at,8.877379989833331,12.665446856874999,3.7880668670416675
220359_s_at,3.8065675196666664,7.592429612,3.7858620923333337
204409_s_at,6.249054117,10.03268633275,3.78363221575
226517_at,4.649840523166667,8.4308432548125,3.781002731645833
202350_s_at,4.991215927833333,8.761119739125,3.769903811291667
203001_s_at,2.5755508146666664,6.3435431641875,3.767992349520834
223502_s_at,4.293272293333334,8.0571131884375,3.763840895104166
203083_at,5.1151954375,8.876697597375,3.7615021598749996
209170_s_at,5.341715346666667,9.092116478624998,3.7504011319583315
219179_at,3.0141230140000004,6.7543549284374995,3.740231914437499
229218_at,6.578218676,10.254040312625001,3.6758216366250016
213994_s_at,2.8258393475,6.451599496500001,3.625760149000001
202207_at,2.755403980666667,6.376636490500001,3.6212325098333342
227997_at,4.185537868666667,7.804471194625001,3.6189333259583343
209242_at,4.019725080333333,7.6186763817499985,3.5989513014166654
223557_s_at,3.5018357171666668,7.1004947064375,3.598658989270833
232458_at,6.8583581915,10.4563370118125,3.597978820312501
201110_s_at,4.7024713154999995,8.2986055256875,3.5961342101875013
207002_s_at,6.308904324166666,9.901232220875,3.5923278967083343
1566825_at,3.271737808833334,6.8621662162499995,3.5904284074166655
230670_at,3.8442288895,7.431898093124999,3.5876692036249986
220273_at,2.3664424195,5.953267292,3.5868248725
227697_at,4.4263160091666665,8.012697746625,3.586381737458333
240890_at,4.347840468166667,7.932800993375002,3.584960525208335
224937_at,5.626687125,9.206747310999999,3.580060185999999
202450_s_at,5.705754273166666,9.2837295861875,3.5779753130208336
223922_x_at,5.459526650333333,9.036890680624998,3.5773640302916645
243864_at,4.2874813835,7.859965178125001,3.5724837946250005
212094_at,5.054745547666666,8.6226931554375,3.567947607770833
212588_at,4.305683120166667,7.871416937687499,3.565733817520832
224952_at,3.8470790355,7.412421115812499,3.565342080312499
204619_s_at,4.908988977,8.474328644249999,3.565339667249999
225123_at,6.006991238,9.556294686749998,3.549303448749998
204268_at,2.6531882705,6.201474810062499,3.548286539562499
209360_s_at,5.081072164166667,8.6224683339375,3.5413961697708327
235008_at,3.5265335285,7.055471132125,3.5289376036249998
212489_at,5.947436961666667,9.473187699812499,3.525750738145832
203000_at,2.6877408514999996,6.212420168625001,3.5246793171250013
211734_s_at,4.636730730833333,8.159639623999999,3.5229088931666652
224917_at,5.164595243,8.687275893499997,3.5226806504999972
227399_at,5.0766396448333335,8.598512935687499,3.521873290854165
215646_s_at,5.4783107294999995,8.994547151625,3.516236422125
210609_s_at,4.278822111666667,7.794588438000002,3.5157663263333347
242856_at,4.172391949166666,7.685077499437501,3.5126855502708345
205048_s_at,4.010210503833334,7.5161808410000015,3.5059703371666675
208837_at,3.060168054333333,6.558485213062499,3.4983171587291664
223344_s_at,4.241157252833333,7.739153258312501,3.497996005479168
218313_s_at,4.0577174985,7.5326995745625,3.4749820760625
1555564_a_at,4.000827986833333,7.4689616214375,3.4681336346041665
232523_at,6.530762260333334,9.9978189448125,3.467056684479167
209763_at,7.185519610000001,10.650146564875,3.4646269548749986
226818_at,5.6407624325,9.103205855562498,3.4624434230624983
202403_s_at,10.620939953333334,14.07132161125,3.4503816579166653
206710_s_at,4.962008829833334,8.409247887812501,3.447239057979168
213975_s_at,7.7190979766666645,11.166132595625003,3.4470346189583383
219410_at,3.099519535166666,6.545161141875001,3.445641606708335
213566_at,3.8284559933333333,7.2734730139999995,3.445017020666666
211737_x_at,3.779219755833333,7.221823227250001,3.4426034714166676
213496_at,2.84645985,6.286354093062499,3.4398942430624992
209169_at,3.1349043193333337,6.5684751075625005,3.433570788229167
203725_at,7.459771472500001,10.8876686200625,3.4278971475624997
223614_at,3.4362138745,6.859829085625,3.423615211125
230550_at,3.851871421,7.273425720625001,3.4215542996250012
204137_at,3.4056046,6.8260408753125,3.4204362753124995
212992_at,3.8948529148333333,7.3117065284375,3.4168536136041667
221019_s_at,6.7650435035,10.181070943125,3.416027439625
209436_at,4.282555317333334,7.6969361275,3.4143808101666657
203854_at,4.422626631166667,7.835558682187502,3.412932051020835
205000_at,6.001012359833333,9.408267227875001,3.407254868041668
212671_s_at,6.364905733333333,9.7690927603125,3.4041870269791668
220330_s_at,2.8432408160000002,6.246733142375,3.4034923263749994
215303_at,3.0927873905000003,6.4946620856875,3.4018746951874994
222608_s_at,2.9123887834999995,6.309744763875001,3.3973559803750013
