entrez_id,mean_log2FC,n_probes,gene_symbol
152006.0,-0.059785168375000586,2,RNF38
253769.0,-0.059829275399999916,5,WDR27
29118.0,-0.05984721000000004,1,DDX25
113263.0,-0.05986656792499998,5,GLCCI1
5983.0,-0.05988338808333271,3,RFC3
3898.0,-0.05990275856249916,2,LAD1
4207.0,-0.05990888650000015,1,MEF2B /// MEF2BNB /// MEF2BNB-MEF2B
3146.0,-0.05991919719999998,5,HMGB1
55093.0,-0.05992690337499873,1,WDYHV1
26091.0,-0.059949404625000056,6,HERC4
8703.0,-0.059956217437499904,2,B4GALT3
26270.0,-0.05995935975000055,1,FBXO6
148103.0,-0.05996867331249989,4,ZNF599
7442.0,-0.05997194699999975,2,SHPK /// TRPV1
51011.0,-0.060009067625000335,5,FAHD2A
51011.0,-0.060009067625000335,5,FAHD2A /// FAHD2B /// FAHD2CP
55739.0,-0.06002676299999976,1,CARKD
7097.0,-0.06014329037500055,1,TLR2
29992.0,-0.06016432881250022,2,PILRA
84818.0,-0.06021955470833307,3,IL17RC
84641.0,-0.06025245193750006,2,HIATL1
23654.0,-0.06027571262499931,2,PLXNB2
64770.0,-0.06028743466666583,3,CCDC14
10724.0,-0.060299169249999805,5,MGEA5
10147.0,-0.06030304339999972,5,SUGP2
145270.0,-0.06032616425000015,1,PRIMA1
129563.0,-0.06034735856249995,4,DIS3L2
55972.0,-0.06037704962500068,2,SLC25A40
113246.0,-0.060381859999999676,1,C12orf57
91833.0,-0.060412654416667134,3,WDR20
23038.0,-0.06044628112500069,3,WDTC1
8087.0,-0.0604669948333334,6,FXR1
65009.0,-0.060542233000000056,1,NDRG4
6519.0,-0.060583413187500046,2,SLC3A1
8714.0,-0.06064091614999993,5,ABCC3
2064.0,-0.060651689000000175,3,ERBB2
100616668.0,-0.06067637650000002,2,TPTE2P5
59349.0,-0.060694228250000926,2,KLHL12
55206.0,-0.060698774975,5,SBNO1
9014.0,-0.06070703031249991,2,TAF1B
23111.0,-0.060713113781250216,4,SPG20
54476.0,-0.06072385606249986,4,RNF216
5090.0,-0.060782526999998865,1,PBX3
25777.0,-0.06079686350000113,1,SUN2
2230.0,-0.06079724466666736,3,FDX1
49855.0,-0.060813141083332876,3,SCAPER
57337.0,-0.060848145812499865,2,SENP7
64801.0,-0.060883906062499715,2,ARV1
84676.0,-0.06090455762500113,1,TRIM63
9343.0,-0.06105079150000048,2,EFTUD2
146059.0,-0.061057238437500105,2,CDAN1
101929787.0,-0.06106186649999934,1,LOC101929787
57602.0,-0.06106401100000029,5,USP36
94241.0,-0.06111867087499956,3,TP53INP1
6222.0,-0.06112935874999614,1,RPS18
4088.0,-0.06115995456250034,4,SMAD3
55181.0,-0.06116398137499868,1,SMG8
57552.0,-0.061169418375000006,1,NCEH1
2651.0,-0.06121485775000002,2,GCNT2
54584.0,-0.06122810830000001,5,C22orf29 /// GNB1L
54584.0,-0.06122810830000001,5,GNB1L
25943.0,-0.061229620999999845,2,C20orf194
101928047.0,-0.06124798975000001,1,LOC101928047
9419.0,-0.06126197452083352,6,CRIPT
84062.0,-0.061326753916666345,3,DTNBP1
101928725.0,-0.061329886749999396,1,LOC101928725
8450.0,-0.061334419531249296,4,CUL4B
2937.0,-0.061345396562500376,2,GSS
3953.0,-0.061355543392857016,7,LEPR
3953.0,-0.061355543392857016,7,LEPR /// LEPROT
619279.0,-0.06136998689583284,6,ZNF704
28974.0,-0.06138398350000074,1,C19orf53
64324.0,-0.06146116674999935,4,NSD1
