probe_id,gene_symbol,entrez_id
1553118_at,THEM4,117145.0
1553120_at,CLSPN,63967.0
1553122_s_at,RBAK,57786.0
1553123_at,WDR62,284403.0
1553125_x_at,WDR62,284403.0
1553126_a_at,SLC39A12,221074.0
1553127_a_at,RNF168,165918.0
1553129_at,SVEP1,79987.0
1553130_at,LOC652276,652276.0
1553131_a_at,GATA4,2626.0
1553132_a_at,TC2N,123036.0
1553133_at,C9orf72,203228.0
1553134_s_at,C9orf72,203228.0
1553136_at,KCTD18,130535.0
1553137_s_at,KLF11,8462.0
1553138_a_at,ANKLE1,126549.0
1553139_s_at,PLXNA3,55558.0
1553140_at,PELO,53918.0
1553141_at,LACC1,144811.0
1553142_at,LACC1,144811.0
1553145_at,TAPT1-AS1,202020.0
1553146_at,C3orf30,152405.0
1553147_at,RANBP3L,202151.0
1553148_a_at,SNX13,23161.0
1553150_at,KDM1B,221656.0
1553151_at,ATP6V0D2,245972.0
1553153_at,ATP6V0D2,245972.0
1553155_x_at,ATP6V0D2,245972.0
1553156_at,LHX4,89884.0
1553157_at,LHX4,89884.0
1553158_at,CEP19,84984.0
1553159_at,DNAH11,8701.0
1553162_x_at,PROSER3,148137.0
1553163_at,ADPRHL1,113622.0
1553165_at,SYNRG,11276.0
1553166_at,CDH24,64403.0
1553167_a_at,SEPSECS,51091.0
1553168_at,GRIK5,2901.0
1553169_at,LRRN4,164312.0
1553171_x_at,LRRN4,164312.0
1553172_at,ZNF777,27153.0
1553174_at,JPH2,57158.0
1553175_s_at,PDE5A,8654.0
1553176_at,SH2D1B,117157.0
1553177_at,SH2D1B,117157.0
1553178_a_at,SSTR3,6753.0
1553179_at,ADAMTS19,171019.0
1553180_at,ADAMTS19,171019.0
1553181_at,DDX31,64794.0
1553183_at,UMODL1,89766.0
1553185_at,RASEF,158158.0
1553186_x_at,RASEF,158158.0
1553188_s_at,PARD3B,117583.0
1553190_s_at,PARD3B,117583.0
1553191_at,DST,667.0
1553192_at,ZNF441,126068.0
1553193_at,ZNF441,126068.0
1553194_at,NEGR1,257194.0
1553196_a_at,FCRL3,115352.0
1553197_at,DCAF4L2,138009.0
1553199_at,DCAF4L2,138009.0
1553202_at,STOX1,219736.0
1553204_at,C20orf166-AS1,253868.0
1553205_at,C20orf166-AS1,253868.0
1553207_at,ARL10,285598.0
1553208_s_at,,
1553209_at,RNFT2,84900.0
1553211_at,ANKFN1,162282.0
1553212_at,KRT78,196374.0
1553213_a_at,KRT78,196374.0
1553214_a_at,CCDC7,79741.0
1553215_s_at,CCDC7,79741.0
1553216_at,ZNF41,7592.0
1553217_s_at,ZNF41,7592.0
1553218_a_at,ZNF512,84450.0
1553219_a_at,AMMECR1,9949.0
1553220_at,FAM117B,150864.0
1553221_at,ZNF583,147949.0
1553222_at,OXER1,165140.0
1553224_at,LUZP1,7798.0
1553225_s_at,ZNF75D,7626.0
1553226_at,LINC00052,145978.0
1553227_s_at,BRWD1,54014.0
1553228_at,CCDC89,220388.0
1553229_at,ZNF572,137209.0
1553232_at,RMDN2,151393.0
1553234_at,ADAMTS18,170692.0
1553235_at,PCDHAC1,56135.0
1553237_x_at,PCDHAC1,56135.0
1553238_a_at,HIPK4,147746.0
1553239_at,FAM124A,220108.0
1553241_at,NKAIN3,286183.0
1553243_at,ITIH5,80760.0
1553244_at,FANCB,2187.0
1553246_a_at,POMK,84197.0
1553247_a_at,ZNF709,163051.0
1553248_at,CCDC57,284001.0
1553249_at,SMC1B,27127.0
1553252_a_at,BRWD3,254065.0
1553253_at,ASB16,92591.0
1553254_at,MAGEE2,139599.0
1553255_at,ERVV-1,147664.0
1553257_at,GAL3ST3,89792.0
1553258_at,FLJ30679,146512.0
1553260_s_at,ALS2CR11,151254.0
1553261_x_at,ALS2CR11,151254.0
1553262_a_at,UTS2R,2837.0
1553263_at,USH1G,124590.0
1553264_a_at,SYN1,6853.0
1553265_at,SLC23A3,151295.0
1553266_at,CNOT6L,246175.0
1553267_a_at,CNOT6L,246175.0
1553268_at,RHBDL3,162494.0
1553269_at,ZNF718,255403.0
1553271_at,DIP2B,57609.0
1553272_at,SLC36A1,206358.0
1553274_a_at,SNRNP48,154007.0
1553275_s_at,,
1553276_at,ZNF560,147741.0
1553277_at,RTTN,25914.0
1553279_at,BTNL9,153579.0
1553280_at,PUS10,150962.0
1553281_at,PLCXD2,257068.0
1553282_at,C21orf128,150147.0
1553284_s_at,LMLN,89782.0
1553285_s_at,RAD9B,144715.0
1553286_at,ZNF555,148254.0
1553288_a_at,NYAP1,222950.0
1553292_s_at,SGK494,124923.0
1553293_at,MRGPRX3,117195.0
1553295_at,ABCA13,154664.0
1553296_at,GPR128,84873.0
1553297_a_at,CSF3R,1441.0
1553298_at,C17orf77,146723.0
1553299_at,DUSP5P1,574029.0
1553300_a_at,DGKH,160851.0
1553301_a_at,TMEM182,130827.0
1553303_at,C16orf46,123775.0
1553304_at,LSM14B,149986.0
1553306_at,CASP8,841.0
1553310_at,PLB1,151056.0
1553311_at,C20orf197,284756.0
1553313_s_at,SLC5A3,6526.0
1553314_a_at,KIF19,124602.0
1553315_at,SLFNL1,200172.0
1553316_at,GPR82,27197.0
1553317_s_at,GPR82,27197.0
